# target_name	query_name	e_value	score	bias
WP_011320463.1	adh_short	1.14e-69	232.2	6.0
WP_011319363.1	adh_short	1.21e-61	206.0	5.0
WP_011319307.1	adh_short	9.85e-60	199.8	2.3
WP_197992837.1	adh_short	1.14e-59	199.6	0.0
WP_011316793.1	adh_short	4.27e-58	194.4	6.9
WP_011320178.1	adh_short	1.67e-57	192.5	7.2
WP_011316790.1	adh_short	9.91e-57	190.0	2.6
WP_011319710.1	adh_short	2.59e-55	185.3	0.7
WP_011318663.1	adh_short	4.64e-55	184.5	0.5
WP_011320660.1	adh_short	1.16e-53	180.0	1.3
WP_011317832.1	adh_short	1.68e-53	179.4	0.4
WP_011319637.1	adh_short	3.99e-53	178.2	0.0
WP_011321330.1	adh_short	6.09e-53	177.6	0.1
WP_011319210.1	adh_short	1.55e-52	176.3	0.1
WP_011320062.1	adh_short	2.96e-52	175.4	0.2
WP_011317861.1	adh_short	2.97e-52	175.4	0.0
WP_041457024.1	adh_short	2.23e-50	169.2	0.3
WP_011318387.1	adh_short	1.47e-48	163.3	0.1
WP_011321438.1	adh_short	1.12e-45	153.9	0.0
WP_011317197.1	adh_short	1.14e-45	153.9	0.3
WP_011319554.1	adh_short	7.41e-44	148.0	0.1
WP_011318693.1	adh_short	7.72e-41	138.1	0.0
WP_011318502.1	adh_short	1.46e-37	127.4	0.0
WP_011318602.1	adh_short	1.74e-33	114.1	0.0
WP_011321563.1	adh_short	3.60e-31	106.6	0.2
WP_224311698.1	adh_short	1.96e-30	104.2	0.0
WP_011320662.1	adh_short	4.55e-30	103.0	0.0
WP_041456288.1	adh_short	1.46e-24	85.0	0.0
WP_011317182.1	adh_short	2.20e-24	84.4	0.0
WP_153228345.1	adh_short	2.11e-15	55.1	0.0
WP_011318422.1	adh_short	5.52e-15	53.7	0.1
WP_011320677.1	adh_short	3.81e-14	51.0	0.0
WP_041456218.1	adh_short	3.30e-10	38.2	0.9
WP_011321410.1	adh_short	5.43e-10	37.5	0.1
WP_011320441.1	adh_short	5.97e-09	34.1	0.2
WP_011320676.1	adh_short	1.32e-08	32.9	1.5
WP_011317850.1	adh_short	3.42e-08	31.6	0.2
WP_011319318.1	adh_short	1.03e-07	30.0	0.1
WP_011319400.1	adh_short	8.86e-06	23.7	0.1
WP_011317936.1	ADH_zinc_N	6.58e-30	102.1	0.2
WP_011318428.1	ADH_zinc_N	3.61e-26	90.0	0.0
WP_011316794.1	ADH_zinc_N	2.48e-25	87.3	0.0
WP_041455898.1	ADH_zinc_N	1.48e-23	81.6	0.0
WP_041456011.1	ADH_zinc_N	4.91e-23	79.9	0.3
WP_011319131.1	ADH_zinc_N	4.51e-22	76.8	0.0
WP_011321102.1	ADH_zinc_N	2.16e-20	71.4	0.0
WP_011321167.1	ADH_zinc_N	1.77e-18	65.2	0.7
WP_011321169.1	ADH_zinc_N	2.64e-17	61.4	0.6
WP_011316739.1	ADH_zinc_N	1.57e-15	55.6	0.1
WP_011320060.1	ADH_zinc_N	4.32e-13	47.7	0.0
WP_011321152.1	ADH_zinc_N	2.72e-06	25.8	0.0
WP_011320676.1	Thiolase_N	3.61e-12	44.6	2.5
